player_name,field,statscrew_value,archive_value,selected_value,resolution,status,evidence_url,note
Massimiliano Fusani,position,,M,M,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Horacio Erpen,appearances,27,29,29,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Horacio Erpen,starts,14,15,15,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Horacio Erpen,yellow_cards,5,6,6,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Horacio Erpen,position,,F,F,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Marco Andreolli,appearances,26,28,28,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Marco Andreolli,starts,26,28,28,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Marco Andreolli,red_cards,0,1,1,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Stefano Pagani,appearances,24,26,26,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Stefano Pagani,starts,11,12,12,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Marco Piccioni,appearances,21,23,23,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Marco Piccioni,starts,21,23,23,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Marco Piccioni,yellow_cards,5,7,7,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Nicolò Consolini,appearances,17,18,18,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Nicolò Consolini,starts,13,14,14,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Nicolò Consolini,position,,D,D,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Daniele Martinetti,position,,F,F,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Andy Selva,position,,F,F,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Sebastiano Girelli,red_cards,0,1,1,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Sebastiano Girelli,position,,D,D,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
William Jidayi,position,"M, D",M,M,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Alberto Pomini,starts,0,1,1,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
TEAM,player_goals,55,56,56,Archive lists all 56 player goals; Pensalfini has four rather than three.,resolved,http://calcio-seriea.net/gol_segnati/2008/3079/,56 player goals plus one opponent own goal equals 57 team goals.
Patrice Feussi,opponent_own_goal,,1,1,Specialist historical goal archive selected; event recorded separately from Sassuolo player goals.,resolved,http://calcio-seriea.net/gol_segnati/2008/3079/,"Sassuolo-Pisa 3-1, 2008-09-16, 81'."
